power_W,duration_s,wall_thickness_mm,bottom_buffer_mm,cooling_h_W_per_m2K,insertion_depth_mm,nx,ny,dt_s,source_smoothing_mm,lesion_depth_mm,depth_fraction,transmural,overheat_area_mm2,peak_temperature_C,name,sample_id,cooling_h_nominal_W_per_m2K,insertion_nominal_mm,cooling_h_sampled_W_per_m2K,insertion_sampled_mm,overheat
30.0,30.0,2.0,4.0,676.5299127672582,1.9326181272530707,281,106,0.05,0.2,2.0,1.0,True,0.0,90.56474961004396,standard_30W_30s,4,800.0,2.0,676.5299127672582,1.9326181272530707,False
30.0,30.0,2.0,4.0,852.5825903490332,2.026588211782414,281,106,0.05,0.2,2.0,1.0,True,0.0,88.22077927645586,standard_30W_30s,5,800.0,2.0,852.5825903490332,2.026588211782414,False
30.0,30.0,2.0,4.0,908.6976548967541,1.9932890310038458,281,106,0.05,0.2,2.0,1.0,True,0.0,86.69815553335395,standard_30W_30s,6,800.0,2.0,908.6976548967541,1.9932890310038458,False
30.0,30.0,2.0,4.0,799.9192391734161,2.0654371052877676,281,106,0.05,0.2,2.0,1.0,True,0.0,89.89121643611719,standard_30W_30s,7,800.0,2.0,799.9192391734161,2.0654371052877676,False
50.0,10.0,2.0,4.0,811.7512095808169,1.767006901151329,281,106,0.05,0.2,2.0,1.0,True,0.0,95.85320468657216,hpsd_50W_10s,0,800.0,2.0,811.7512095808169,1.767006901151329,False
50.0,10.0,2.0,4.0,600.1744894135553,2.136782267966186,281,106,0.05,0.2,2.0,1.0,True,1.4583673469387837,106.69177441920895,hpsd_50W_10s,1,800.0,2.0,600.1744894135553,2.136782267966186,True
50.0,10.0,2.0,4.0,984.8088949425323,1.8366504854600623,281,106,0.05,0.2,2.0,1.0,True,0.0,94.18229138044424,hpsd_50W_10s,2,800.0,2.0,984.8088949425323,1.8366504854600623,False
50.0,10.0,2.0,4.0,757.7125760662651,2.4289275897724822,281,106,0.05,0.2,2.0,1.0,True,1.8000000000000098,108.1266082780332,hpsd_50W_10s,3,800.0,2.0,757.7125760662651,2.4289275897724822,True
50.0,10.0,2.0,4.0,676.5299127672582,1.9326181272530707,281,106,0.05,0.2,2.0,1.0,True,0.20571428571428685,101.40823448436323,hpsd_50W_10s,4,800.0,2.0,676.5299127672582,1.9326181272530707,True
50.0,10.0,2.0,4.0,852.5825903490332,2.026588211782414,281,106,0.05,0.2,2.0,1.0,True,0.0,99.47063553359393,hpsd_50W_10s,5,800.0,2.0,852.5825903490332,2.026588211782414,False
50.0,10.0,2.0,4.0,908.6976548967541,1.9932890310038458,281,106,0.05,0.2,2.0,1.0,True,0.0,97.96334283003098,hpsd_50W_10s,6,800.0,2.0,908.6976548967541,1.9932890310038458,False
50.0,10.0,2.0,4.0,799.9192391734161,2.0654371052877676,281,106,0.05,0.2,2.0,1.0,True,0.16163265306122537,101.07991248545956,hpsd_50W_10s,7,800.0,2.0,799.9192391734161,2.0654371052877676,True
90.0,4.0,2.0,4.0,811.7512095808169,1.767006901151329,281,106,0.05,0.2,1.708373740196322,0.854186870098161,False,0.8816326530612293,109.920003500524,vhpsd_90W_4s,0,800.0,2.0,811.7512095808169,1.767006901151329,True
90.0,4.0,2.0,4.0,600.1744894135553,2.136782267966186,281,106,0.05,0.2,1.8162071752272513,0.9081035876136256,False,2.163673469387767,119.56866102426618,vhpsd_90W_4s,1,800.0,2.0,600.1744894135553,2.136782267966186,True
90.0,4.0,2.0,4.0,984.8088949425323,1.8366504854600623,281,106,0.05,0.2,1.7225175812189621,0.8612587906094811,False,0.7493877551020449,108.68513699312763,vhpsd_90W_4s,2,800.0,2.0,984.8088949425323,1.8366504854600623,True
90.0,4.0,2.0,4.0,757.7125760662651,2.4289275897724822,281,106,0.05,0.2,1.887882462286494,0.943941231143247,False,2.4097959183673603,121.15124382581264,vhpsd_90W_4s,3,800.0,2.0,757.7125760662651,2.4289275897724822,True
90.0,4.0,2.0,4.0,676.5299127672582,1.9326181272530707,281,106,0.05,0.2,1.7593100964315216,0.8796550482157608,False,1.5722448979591923,114.94540340961913,vhpsd_90W_4s,4,800.0,2.0,676.5299127672582,1.9326181272530707,True
90.0,4.0,2.0,4.0,852.5825903490332,2.026588211782414,281,106,0.05,0.2,1.7787986091329355,0.8893993045664678,False,1.3665306122449055,113.60131612691583,vhpsd_90W_4s,5,800.0,2.0,852.5825903490332,2.026588211782414,True
90.0,4.0,2.0,4.0,908.6976548967541,1.9932890310038458,281,106,0.05,0.2,1.767953021545721,0.8839765107728605,False,1.1608163265306186,112.24914195011024,vhpsd_90W_4s,6,800.0,2.0,908.6976548967541,1.9932890310038458,True
90.0,4.0,2.0,4.0,799.9192391734161,2.0654371052877676,281,106,0.05,0.2,1.7919855421340232,0.8959927710670116,False,1.6126530612244985,115.02470987376023,vhpsd_90W_4s,7,800.0,2.0,799.9192391734161,2.0654371052877676,True
