name,wall_thickness_mm,cooling_h_nominal_W_per_m2K,insertion_nominal_mm,transmural_probability,overheat_probability,depth_fraction_mean,depth_fraction_p10,depth_fraction_p50,depth_fraction_p90,lesion_depth_mean_mm,tmax_mean_C,tmax_p90_C,n_samples
standard_30W_30s,6.0,2500.0,2.0,0.0,0.0,0.5051930242490253,0.478211536738105,0.5084867381769251,0.5274657697079574,3.0311581454941523,69.69488268599599,71.91427222484691,8
vhpsd_90W_4s,2.0,800.0,0.5,0.0,0.0,0.6569738509139076,0.6167024769520074,0.6526508001784015,0.6940062906204137,1.3139477018278152,86.76243598048714,90.56599740338375,8
vhpsd_90W_4s,2.0,800.0,1.0,0.0,0.125,0.7408475300940712,0.6997815301466769,0.7440921024594087,0.776047644514643,1.4816950601881425,96.51377298923742,100.37595818028026,8
vhpsd_90W_4s,2.0,800.0,1.5,0.0,0.875,0.8191578026132141,0.7900034978272434,0.8205626448863238,0.844132411273581,1.6383156052264283,105.89166481312822,109.99476766995188,8
vhpsd_90W_4s,2.0,800.0,2.0,0.0,1.0,0.8895642642608269,0.859137214456085,0.8866879076696641,0.9188548806725121,1.7791285285216538,114.39320208801699,120.04343586473011,8
vhpsd_90W_4s,2.0,1500.0,0.5,0.0,0.0,0.6277143610336484,0.5914037758070576,0.6292412836427592,0.6638940731966251,1.2554287220672968,79.30126822415502,82.5565218480902,8
vhpsd_90W_4s,2.0,1500.0,1.0,0.0,0.0,0.7207077657339105,0.6783715551668104,0.7242381879714832,0.756167029346352,1.441415531467821,88.27572564295426,92.92193390690788,8
vhpsd_90W_4s,2.0,1500.0,1.5,0.0,0.375,0.8052469070447679,0.7694949385388619,0.8068780323206268,0.8422472748913222,1.6104938140895357,97.7576893687205,102.4042323663,8
vhpsd_90W_4s,2.0,1500.0,2.0,0.0,0.875,0.8762867219002339,0.8438026922872547,0.8799683512232725,0.9106392145839811,1.7525734438004679,106.05125817857493,110.98053620337173,8
vhpsd_90W_4s,2.0,2500.0,0.5,0.0,0.0,0.6066717256716873,0.5578839662237552,0.6026396073069782,0.6649527137264404,1.2133434513433745,75.23374284211273,79.84612974562847,8
vhpsd_90W_4s,2.0,2500.0,1.0,0.0,0.0,0.7088221994768296,0.6706030338680826,0.7096663000224039,0.7441188321309821,1.4176443989536591,83.69703503140734,87.47262839229433,8
vhpsd_90W_4s,2.0,2500.0,1.5,0.0,0.0,0.791200026699229,0.7537328295766156,0.7945854567495976,0.8273178400473307,1.582400053398458,91.90794403653801,96.07499227475923,8
vhpsd_90W_4s,2.0,2500.0,2.0,0.0,0.625,0.8771570355870362,0.8455467452867732,0.871025537031148,0.9115442399495568,1.7543140711740723,101.51979863821984,104.84955591232554,8
vhpsd_90W_4s,3.0,800.0,0.5,0.0,0.0,0.4081459353467059,0.3802704724413946,0.4105097768074059,0.43145405705672035,1.2244378060401178,83.87708828976288,86.53521164991871,8
vhpsd_90W_4s,3.0,800.0,1.0,0.0,0.0,0.469422379558941,0.4402335747431033,0.473137384660692,0.4928746656017918,1.408267138676823,93.45993645211686,97.63893713649584,8
vhpsd_90W_4s,3.0,800.0,1.5,0.0,0.875,0.524432958483927,0.5007476858928552,0.5247233385892123,0.5459805204574195,1.5732988754517812,102.53079570551293,107.40558910609991,8
vhpsd_90W_4s,3.0,800.0,2.0,0.0,1.0,0.5712650073036776,0.5527663412816954,0.572014847547671,0.5904951925039613,1.7137950219110327,110.71931197611505,113.35289744937572,8
vhpsd_90W_4s,3.0,1500.0,0.5,0.0,0.0,0.39165619862473633,0.3527288895801479,0.3924634594100659,0.42609753085033997,1.174968595874209,77.70612989741754,82.68519225982467,8
vhpsd_90W_4s,3.0,1500.0,1.0,0.0,0.0,0.4522526684207749,0.41334239513984794,0.4577293441803564,0.48158328337433925,1.3567580052623247,85.35149490911733,89.93341603814521,8
vhpsd_90W_4s,3.0,1500.0,1.5,0.0,0.0,0.5147282241043357,0.493488489853261,0.5142720387949162,0.5399499214543088,1.5441846723130073,94.87916278247708,99.00346871551783,8
vhpsd_90W_4s,3.0,1500.0,2.0,0.0,0.875,0.5689174883743192,0.5496306536150821,0.5651679212714475,0.5912192173435044,1.7067524651229575,103.51739864341825,106.17969678467335,8
vhpsd_90W_4s,3.0,2500.0,0.5,0.0,0.0,0.3674718489958666,0.32713396418359525,0.3671486644918802,0.405315916164282,1.1024155469875998,73.12344598362377,76.80301563039272,8
