power_W,duration_s,wall_thickness_mm,bottom_buffer_mm,cooling_h_W_per_m2K,insertion_depth_mm,nx,ny,dt_s,source_smoothing_mm,lesion_depth_mm,depth_fraction,transmural,overheat_area_mm2,peak_temperature_C,name,transmural_int
90.0,4.0,3.0,4.0,1500.0,2.0,281,123,0.05,0.2,1.700281817188366,0.5667606057294553,False,0.243442622950821,103.13126067718798,vhpsd_90W_4s,0
30.0,30.0,3.0,4.0,2500.0,0.5,281,123,0.05,0.2,2.4171578993376803,0.8057192997792267,False,0.0,60.637538062420646,standard_30W_30s,0
50.0,10.0,3.0,4.0,2500.0,0.5,281,123,0.05,0.2,1.4794658793082434,0.4931552931027478,False,0.0,64.70414787167722,hpsd_50W_10s,0
90.0,4.0,3.0,4.0,2500.0,0.5,281,123,0.05,0.2,1.096676411719412,0.3655588039064706,False,0.0,72.54942308806739,vhpsd_90W_4s,0
30.0,30.0,3.0,4.0,2500.0,1.0,281,123,0.05,0.2,2.7847909381756986,0.928263646058566,False,0.0,64.30718736600373,standard_30W_30s,0
50.0,10.0,3.0,4.0,2500.0,1.0,281,123,0.05,0.2,1.7799488884673054,0.5933162961557684,False,0.0,69.85509171326274,hpsd_50W_10s,0
90.0,4.0,3.0,4.0,2500.0,1.0,281,123,0.05,0.2,1.3324062666754375,0.4441354222251459,False,0.0,80.74109210789962,vhpsd_90W_4s,0
30.0,30.0,3.0,4.0,2500.0,1.5,281,123,0.05,0.2,3.0,1.0,True,0.0,68.59812306434884,standard_30W_30s,1
50.0,10.0,3.0,4.0,2500.0,1.5,281,123,0.05,0.2,2.0212938704057666,0.6737646234685889,False,0.0,76.23657149871161,hpsd_50W_10s,0
90.0,4.0,3.0,4.0,2500.0,1.5,281,123,0.05,0.2,1.5200742774605405,0.5066914258201801,False,0.0,89.35423374654916,vhpsd_90W_4s,0
30.0,30.0,3.0,4.0,2500.0,2.0,281,123,0.05,0.2,3.0,1.0,True,0.0,73.59173872072441,standard_30W_30s,1
50.0,10.0,3.0,4.0,2500.0,2.0,281,123,0.05,0.2,2.229718179746653,0.7432393932488844,False,0.0,83.34759243770029,hpsd_50W_10s,0
90.0,4.0,3.0,4.0,2500.0,2.0,281,123,0.05,0.2,1.6832759938605952,0.5610919979535317,False,0.0,97.85280078818596,vhpsd_90W_4s,0
30.0,30.0,4.0,4.0,800.0,0.5,281,141,0.05,0.2,2.6285284540621303,0.6571321135155326,False,0.0,65.90895107663088,standard_30W_30s,0
50.0,10.0,4.0,4.0,800.0,0.5,281,141,0.05,0.2,1.615665113473721,0.4039162783684302,False,0.0,71.5065803894083,hpsd_50W_10s,0
90.0,4.0,4.0,4.0,800.0,0.5,281,141,0.05,0.2,1.150739015950796,0.287684753987699,False,0.0,81.4702324625681,vhpsd_90W_4s,0
30.0,30.0,4.0,4.0,800.0,1.0,281,141,0.05,0.2,2.9545254614083194,0.7386313653520798,False,0.0,71.1044429020995,standard_30W_30s,0
50.0,10.0,4.0,4.0,800.0,1.0,281,141,0.05,0.2,1.864666161656513,0.4661665404141282,False,0.0,78.92884338139135,hpsd_50W_10s,0
90.0,4.0,4.0,4.0,800.0,1.0,281,141,0.05,0.2,1.3490357978546168,0.3372589494636542,False,0.0,90.74077014351649,vhpsd_90W_4s,0
30.0,30.0,4.0,4.0,800.0,1.5,281,141,0.05,0.2,3.239999762899229,0.8099999407248073,False,0.0,77.237278572426,standard_30W_30s,0
50.0,10.0,4.0,4.0,800.0,1.5,281,141,0.05,0.2,2.075254974733165,0.5188137436832913,False,0.0,86.72846642259888,hpsd_50W_10s,0
90.0,4.0,4.0,4.0,800.0,1.5,281,141,0.05,0.2,1.5169047310561865,0.3792261827640465,False,0.0,99.51199547632176,vhpsd_90W_4s,0
30.0,30.0,4.0,4.0,800.0,2.0,281,141,0.05,0.2,3.497835165125453,0.8744587912813633,False,0.0,84.40667376773108,standard_30W_30s,0
50.0,10.0,4.0,4.0,800.0,2.0,281,141,0.05,0.2,2.2627855771107117,0.5656963942776778,False,0.0,94.67428452544206,hpsd_50W_10s,0
90.0,4.0,4.0,4.0,800.0,2.0,281,141,0.05,0.2,1.6671098988093311,0.4167774747023328,False,0.6832653061224527,107.55486115350548,vhpsd_90W_4s,0
30.0,30.0,4.0,4.0,1500.0,0.5,281,141,0.05,0.2,2.3870929769241607,0.5967732442310402,False,0.0,61.58885237992813,standard_30W_30s,0
50.0,10.0,4.0,4.0,1500.0,0.5,281,141,0.05,0.2,1.4720046151974144,0.3680011537993536,False,0.0,65.9919907644646,hpsd_50W_10s,0
90.0,4.0,4.0,4.0,1500.0,0.5,281,141,0.05,0.2,1.0720671209796175,0.2680167802449044,False,0.0,74.8308998011412,vhpsd_90W_4s,0
30.0,30.0,4.0,4.0,1500.0,1.0,281,141,0.05,0.2,2.7550288044576625,0.6887572011144156,False,0.0,65.76571451583307,standard_30W_30s,0
50.0,10.0,4.0,4.0,1500.0,1.0,281,141,0.05,0.2,1.7641540057025002,0.441038501425625,False,0.0,72.13923982573938,hpsd_50W_10s,0
90.0,4.0,4.0,4.0,1500.0,1.0,281,141,0.05,0.2,1.302022709167702,0.3255056772919255,False,0.0,83.45958660172624,vhpsd_90W_4s,0
30.0,30.0,4.0,4.0,1500.0,1.5,281,141,0.05,0.2,3.070254475062208,0.767563618765552,False,0.0,70.62661412872852,standard_30W_30s,0
50.0,10.0,4.0,4.0,1500.0,1.5,281,141,0.05,0.2,1.999598496266713,0.4998996240666782,False,0.0,79.11122098846667,hpsd_50W_10s,0
90.0,4.0,4.0,4.0,1500.0,1.5,281,141,0.05,0.2,1.4849114005020323,0.3712278501255081,False,0.0,92.13278335038645,vhpsd_90W_4s,0
30.0,30.0,4.0,4.0,1500.0,2.0,281,141,0.05,0.2,3.352352210611922,0.8380880526529805,False,0.0,76.34545173974409,standard_30W_30s,0
50.0,10.0,4.0,4.0,1500.0,2.0,281,141,0.05,0.2,2.2066239740949523,0.5516559935237381,False,0.0,86.63283392904164,hpsd_50W_10s,0
