power_W,duration_s,wall_thickness_mm,bottom_buffer_mm,cooling_h_W_per_m2K,insertion_depth_mm,nx,ny,dt_s,source_smoothing_mm,lesion_depth_mm,lesion_width_mm,lesion_area_mm2,depth_to_width_ratio,depth_fraction,transmural,overheat_area_mm2,peak_temperature_C,name,transmural_int
50.0,10.0,3.0,4.0,800.0,1.5,281,123,0.05,0.2,2.1492444604421634,3.88280025080648,7.08934426229512,0.5535294945949777,0.7164148201473878,False,0.0,88.97638200551745,hpsd_50W_10s,0
90.0,4.0,3.0,4.0,800.0,1.5,281,123,0.05,0.2,1.5715702186320033,3.57109131852728,4.927868852459044,0.44008121844392367,0.5238567395440011,False,0.17704918032786984,102.3228029912425,vhpsd_90W_4s,0
30.0,30.0,3.0,4.0,800.0,2.0,281,123,0.05,0.2,3.0,5.159105724615136,14.138114754098439,0.5814961274560422,1.0,True,0.0,86.43784732565815,standard_30W_30s,1
50.0,10.0,3.0,4.0,800.0,2.0,281,123,0.05,0.2,2.3288013729759265,4.113123922864424,8.088934426229553,0.5661879915726254,0.7762671243253089,False,0.0,97.10888012287974,hpsd_50W_10s,0
90.0,4.0,3.0,4.0,800.0,2.0,281,123,0.05,0.2,1.7160376733187794,3.7135879760354347,5.569672131147572,0.4620969489326042,0.5720125577729265,False,0.973770491803284,110.51008473325618,vhpsd_90W_4s,0
30.0,30.0,3.0,4.0,1500.0,0.5,281,123,0.05,0.2,2.5835789142741676,3.294554073997481,6.584016393442659,0.7841968461423235,0.8611929714247225,False,0.0,62.96453345966958,standard_30W_30s,0
50.0,10.0,3.0,4.0,1500.0,0.5,281,123,0.05,0.2,1.5914658073040975,2.8535206224945293,3.4561475409836255,0.5577201001312015,0.5304886024346992,False,0.0,67.55540560692049,hpsd_50W_10s,0
90.0,4.0,3.0,4.0,1500.0,0.5,281,123,0.05,0.2,1.162302035842749,2.9084684877162603,2.777459016393458,0.3996268279170501,0.387434011947583,False,0.0,76.83019921617785,vhpsd_90W_4s,0
30.0,30.0,3.0,4.0,1500.0,1.0,281,123,0.05,0.2,2.9216825354283578,3.82798634720627,9.00000000000005,0.7632426739349923,0.9738941784761193,False,0.0,67.23581522539625,standard_30W_30s,0
50.0,10.0,3.0,4.0,1500.0,1.0,281,123,0.05,0.2,1.8577181477897655,3.2617627878626596,4.975819672131175,0.5695442215180446,0.6192393825965885,False,0.0,73.8642604083164,hpsd_50W_10s,0
90.0,4.0,3.0,4.0,1500.0,1.0,281,123,0.05,0.2,1.3699498879805545,3.186900036172563,3.7327868852459223,0.42986911181119175,0.4566499626601848,False,0.0,85.71027332295347,vhpsd_90W_4s,0
30.0,30.0,3.0,4.0,1500.0,1.5,281,123,0.05,0.2,3.0,4.277621242113392,11.04344262295088,0.7013243646877503,1.0,True,0.0,72.2104453095255,standard_30W_30s,1
